Date,VALE3,PETR4,ITUB4,PETR3,BBDC4,BBAS3,WEGE3,ELET3,SBSP3,B3SA3,ABEV3,ITSA4,BPAC11,EQTL3,RENT3,JBSS3,PRIO3,RDOR3,SUZB3,EMBR3,RADL3,RAIL3,VBBR3,GGBR4,UGPA3,BBSE3,ENEV3,VIVT3,CMIG4,BBDC3
2024-05-15,62.16893005371094,36.30308532714844,32.72599792480469,37.949485778808594,12.622689247131348,26.370925903320312,39.36284637451172,38.18000030517578,79.22000122070312,11.319704055786133,12.3100004196167,10.080496788024902,35.003509521484375,31.549999237060547,46.9771614074707,25.76494789123535,47.0,30.461994171142578,50.540000915527344,38.970001220703125,26.877466201782227,20.489999771118164,23.028759002685547,19.435882568359375,24.8654727935791,32.96285629272461,12.619999885559082,45.16195297241211,9.761384963989258,11.31521987915039
2024-05-16,62.62236785888672,35.24424362182617,32.62778091430664,37.25725555419922,12.68917465209961,26.399538040161133,39.34297561645508,38.43000030517578,79.73999786376953,11.38854694366455,12.380000114440918,10.1295747756958,35.17136764526367,31.290000915527344,47.71302032470703,26.95890998840332,47.61000061035156,30.57082176208496,51.689998626708984,38.66999816894531,27.46348762512207,21.040000915527344,23.135236740112305,19.922523498535156,24.934738159179688,33.16502380371094,12.699999809265137,45.80220031738281,9.621671676635742,11.31521987915039
2024-05-17,63.84760284423828,34.68646240234375,32.63759994506836,36.574501037597656,12.755660057067871,26.409074783325195,39.38271713256836,38.20000076293945,78.55999755859375,11.231191635131836,12.380000114440918,10.070680618286133,34.60854721069336,30.739999771118164,47.48735809326172,27.660125732421875,48.119998931884766,30.768692016601562,51.45000076293945,39.560001373291016,27.4138240814209,20.739999771118164,22.931957244873047,19.416019439697266,24.578527450561523,32.89546585083008,12.75,45.75294876098633,9.677557945251465,11.400582313537598
2024-05-20,63.81866455078125,34.743186950683594,32.53937911987305,36.697776794433594,12.660680770874023,26.628437042236328,39.59135437011719,36.849998474121094,77.80999755859375,11.241026878356934,12.100000381469727,10.02160358428955,34.006229400634766,30.56999969482422,47.01640701293945,27.859119415283203,47.5,31.006135940551758,51.04999923706055,38.880001068115234,27.612472534179688,20.309999465942383,22.980358123779297,19.147871017456055,24.390525817871094,32.44300079345703,12.699999809265137,44.876304626464844,9.780014991760254,11.3721284866333
2024-05-21,63.63535690307617,34.67700958251953,32.372406005859375,36.42278289794922,12.727166175842285,26.60936164855957,39.50193786621094,37.54999923706055,76.9800033569336,11.221357345581055,12.020000457763672,10.011787414550781,33.68038558959961,30.59000015258789,45.74091720581055,27.94440269470215,45.849998474121094,30.659862518310547,49.150001525878906,39.5,27.503217697143555,20.68000030517578,22.806116104125977,18.820131301879883,24.360843658447266,32.66442108154297,12.75,44.58080291748047,9.975614547729492,11.3721284866333
2024-05-22,63.13368606567383,35.14970397949219,31.871505737304688,36.764156341552734,12.442230224609375,26.227867126464844,39.02505111694336,36.2400016784668,74.94999694824219,10.877143859863281,11.970000267028809,9.93326473236084,32.6929817199707,29.950000762939453,44.93638229370117,27.81174087524414,44.209999084472656,28.809785842895508,48.31999969482422,38.689998626708984,27.016523361206055,20.489999771118164,22.35115623474121,18.432804107666016,24.222314834594727,32.11568069458008,12.600000381469727,45.37864685058594,9.733443260192871,11.144495964050293
2024-05-23,62.75743103027344,34.79991149902344,31.586673736572266,36.451229095458984,12.2332763671875,25.693769454956055,38.776676177978516,36.13999938964844,75.36000061035156,10.92631721496582,11.960000038146973,9.844924926757812,32.13016128540039,29.649999618530273,44.83827209472656,27.934926986694336,44.470001220703125,28.888931274414062,50.099998474121094,37.970001220703125,26.48016357421875,20.489999771118164,21.73163604736328,18.323558807373047,23.618738174438477,31.98090362548828,12.600000381469727,45.21120071411133,9.668243408203125,11.040164947509766
2024-05-24,62.786373138427734,34.61083221435547,31.282201766967773,36.32795715332031,12.318757057189941,25.827295303344727,38.091156005859375,36.20000076293945,75.61000061035156,10.95582103729248,11.869999885559082,9.776217460632324,31.695701599121094,30.149999618530273,44.54393005371094,27.821216583251953,43.45000076293945,28.671276092529297,48.939998626708984,37.68000030517578,25.884212493896484,20.31999969482422,21.712276458740234,18.591707229614258,23.589054107666016,31.470670700073242,12.789999961853027,45.21120071411133,9.668243408203125,11.049649238586426
2024-05-27,62.99862289428711,34.98898696899414,31.174161911010742,36.697776794433594,12.28076457977295,26.142026901245117,38.10108947753906,36.20000076293945,75.06999969482422,10.916482925415039,11.8100004196167,9.786032676696777,31.824064254760742,30.43000030517578,44.09259796142578,27.44217872619629,43.66999816894531,28.235963821411133,49.0,38.150001525878906,25.74515724182129,20.309999465942383,21.963956832885742,18.383146286010742,23.717683792114258,31.63433074951172,12.770000457763672,45.24074935913086,9.677557945251465,11.049649238586426
2024-05-28,61.638309478759766,35.73584747314453,31.007192611694336,37.34259796142578,12.271267890930176,26.05619239807129,37.981868743896484,35.86000061035156,74.62999725341797,10.886978149414062,11.59000015258789,9.786032676696777,31.833940505981445,29.93000030517578,43.71976852416992,27.43270492553711,43.15999984741211,27.879796981811523,49.08000183105469,37.16999816894531,25.655763626098633,20.139999389648438,21.692913055419922,18.343420028686523,23.717683792114258,31.201114654541016,12.779999732971191,44.649757385253906,9.509899139404297,11.021196365356445
2024-05-29,61.0112190246582,35.68857955932617,30.791114807128906,37.427940368652344,12.147795677185059,26.05619239807129,37.48511505126953,35.29999923706055,74.69000244140625,10.700119972229004,11.520000457763672,9.68787670135498,31.527843475341797,29.40999984741211,43.170326232910156,27.394800186157227,42.43000030517578,27.523632049560547,49.279998779296875,36.650001525878906,25.625965118408203,19.75,21.179872512817383,18.11499786376953,23.351579666137695,31.3840274810791,12.430000305175781,43.989810943603516,9.407442092895508,10.907379150390625
2024-05-31,60.97262954711914,36.67178726196289,30.47681999206543,38.594303131103516,12.033821105957031,25.86544418334961,37.306278228759766,34.790000915527344,73.86000061035156,10.523096084594727,11.5600004196167,9.550460815429688,31.19212532043457,29.229999542236328,41.92427062988281,27.32847023010254,41.61000061035156,27.167465209960938,48.70000076293945,36.22999954223633,24.900888442993164,19.709999084472656,20.850753784179688,17.985889434814453,22.926105499267578,31.095216751098633,12.430000305175781,42.65021896362305,9.267728805541992,10.859954833984375
2024-06-03,59.68950271606445,36.47325897216797,30.906911849975586,38.16758346557617,12.10980224609375,25.894054412841797,37.09764862060547,35.45000076293945,73.55000305175781,10.513260841369629,11.550000190734863,9.622808456420898,32.14990997314453,29.639999389648438,41.84577941894531,27.27161407470703,41.16999816894531,27.01906394958496,47.11000061035156,36.72999954223633,25.010149002075195,19.829999923706055,20.70555305480957,17.469451904296875,22.777685165405273,30.979694366455078,12.779999732971191,43.24121856689453,9.47264289855957,10.878925323486328
2024-06-04,59.08170700073242,36.06673812866211,31.015012741088867,37.949485778808594,12.222972869873047,25.970355987548828,37.55466079711914,35.7599983215332,74.66999816894531,10.532930374145508,11.6899995803833,9.672004699707031,31.863561630249023,29.780000686645508,42.03219985961914,26.95890998840332,40.88999938964844,26.860769271850586,46.900001525878906,37.68000030517578,25.010149002075195,19.860000610351562,20.279634475708008,17.270822525024414,22.73810577392578,31.374401092529297,12.850000381469727,44.35425567626953,9.54715633392334,10.90480899810791
2024-06-05,58.242366790771484,36.11400604248047,30.9560489654541,37.88310623168945,12.156388282775879,26.02758026123047,37.296348571777344,36.099998474121094,78.01000213623047,10.562434196472168,11.569999694824219,9.72120189666748,32.08079147338867,30.059999465942383,42.208805084228516,27.072620391845703,40.13999938964844,26.613433837890625,46.63999938964844,36.599998474121094,24.781700134277344,19.799999237060547,20.221553802490234,17.13178253173828,22.767789840698242,31.55731201171875,12.550000190734863,44.70885467529297,9.593729019165039,10.828818321228027
2024-06-06,59.05276107788086,36.284175872802734,31.34914207458496,37.87362289428711,12.413213729858398,26.370925903320312,37.564598083496094,36.540000915527344,77.31999969482422,10.89681339263916,11.819999694824219,9.78023624420166,32.88058853149414,29.90999984741211,42.875980377197266,27.64117431640625,40.16999816894531,27.078428268432617,48.349998474121094,36.90999984741211,24.96048355102539,20.5,20.36675262451172,17.161577224731445,22.67873764038086,31.72097396850586,12.8100004196167,44.866455078125,9.724128723144531,10.990299224853516
2024-06-07,58.28095626831055,34.92280960083008,30.906911849975586,36.593467712402344,12.318093299865723,25.92266845703125,37.60433578491211,35.72999954223633,74.25,10.57226848602295,11.5600004196167,9.54409408569336,32.26839828491211,29.479999542236328,41.94389724731445,27.707504272460938,39.91999816894531,26.623327255249023,48.650001525878906,38.400001525878906,25.14920425415039,19.799999237060547,20.134431838989258,16.853700637817383,21.92673683166504,31.470670700073242,12.699999809265137,44.32470703125,9.481956481933594,10.90480899810791
2024-06-10,58.91769790649414,35.452232360839844,30.661230087280273,37.2667350769043,12.232484817504883,25.951278686523438,37.564598083496094,35.97999954223633,75.0999984741211,10.316567420959473,11.460000038146973,9.465380668640137,31.20199966430664,29.18000030517578,41.070674896240234,27.716981887817383,40.79999923706055,26.267160415649414,49.689998626708984,39.029998779296875,24.930688858032227,19.600000381469727,20.618431091308594,16.73452377319336,22.273054122924805,31.40328025817871,12.460000038146973,43.70416259765625,9.45401382446289,10.914307594299316
2024-06-11,58.830867767333984,35.603492736816406,31.005184173583984,37.238285064697266,12.299068450927734,26.237403869628906,37.55466079711914,36.220001220703125,75.5999984741211,10.37557601928711,11.399999618530273,9.603130340576172,31.824064254760742,29.25,40.76652145385742,27.963354110717773,42.54999923706055,26.870662689208984,48.91999816894531,38.810001373291016,24.900888442993164,20.0,20.90883445739746,17.13178253173828,22.49073600769043,31.55731201171875,12.789999961853027,44.71870803833008,9.537841796875,10.961803436279297
2024-06-12,58.02047348022461,34.82878494262695,30.9560489654541,36.540061950683594,12.070780754089355,25.74077033996582,37.822906494140625,35.59000015258789,73.16000366210938,10.228055000305176,11.270000457763672,9.51457691192627,31.29086685180664,29.030000686645508,40.246517181396484,27.660125732421875,42.689998626708984,26.494712829589844,49.0,39.970001220703125,24.573116302490234,19.600000381469727,20.250593185424805,17.250961303710938,21.600210189819336,31.258878707885742,12.380000114440918,43.86176300048828,9.286356925964355,10.743328094482422
2024-06-13,58.6861572265625,34.47874450683594,30.63174819946289,36.0627326965332,12.080291748046875,25.915348052978516,38.17063522338867,35.58000183105469,74.47000122070312,9.913346290588379,11.09000015258789,9.416183471679688,31.478471755981445,29.049999237060547,39.42235565185547,27.53693962097168,41.86000061035156,26.46503257751465,48.77000045776367,39.439998626708984,24.7916316986084,19.389999389648438,19.979551315307617,17.211233139038086,21.481473922729492,31.29738426208496,12.430000305175781,43.369266510009766,9.444700241088867,10.714829444885254
